"Gender","Age","Height","Weight","Duration","Heart_Rate","Body_Temp","Calories","Gender_imp","Age_imp","Height_imp","Weight_imp","Duration_imp","Heart_Rate_imp","Body_Temp_imp","Calories_imp"
0,45,180.903936209186,96.30111546,37,170,40.95,286.9598505,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,25,169.428566462643,61.1046681,43,142,40.8,343.4530361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,20,160.384589728197,71.76672384,20,148,40.75,261.2234649,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,33,156.853092350884,82.98445557,39,170,40.8,127.1838584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,29,191.777597662725,85.64317443,34,118,40.8,416.3183735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,60,152.360585231318,80.59659152,41,169,40.9,479.7226901,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,18,133.673055399368,61.81538551,53,103,40.8,457.6313614,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,42,168.770657766127,62.80648911,25,104,40.9,272.9569819,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,49,132.747431668238,54.53768847,37,161,40.9,195.0322726,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,41,176.65136582061,97.43683277,55,103,40.8,259.5311447,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,41,126.161009003,54.14440184,52,151,40.85,248.5361176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,35,167.83836995816,97.36896072,28,158,40.9,376.5526493,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,54,156.384233076287,84.42865874,48,173,40.9,311.1060239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,41,144.041705095046,60.02686967,43,121,40.85,497.549588,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,19,152.50262343662,61.25935824,59,174,40.75,451.8532602,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,54,172.799552378205,86.46496723,42,105,40.9,325.056217,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,38,161.933700531451,88.31452671,46,119,40.9,216.8663933,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,42,187.660572534235,84.14403879,26,126,40.8,377.1229305,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,40,145.901813792699,70.75616296,23,129,40.9,457.6203214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,49,203.208941928326,84.43614261,59,149,40.8,103.3354905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,38,180.39102699207,80.99303296,55,114,40.8,335.1512709,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,29,159.558860163643,52.29681481,37,135,40.7,131.4575318,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,54,150.872169539077,69.65255976,26,117,40.8,187.2145211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,30,128.050142676323,54.69985051,26,145,40.6,129.0192376,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,45,178.706523431235,59.86013459,36,135,40.95,293.464795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,24,151.109122670048,72.0983609,57,159,40.75,344.1352887,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,56,201.932836170138,81.68863135,39,133,40.9,297.6813903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,54,228.081976450098,98.57062426,33,118,40.7,126.4961165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,21,192.052090092469,78.70795184,21,164,40.85,279.7251573,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,55,129.878271593213,49.31561328,48,155,40.75,214.2193561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,47,197.212935917906,86.24767046,26,154,40.75,115.3368677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,24,188.341934068361,86.45526301,37,168,40.9,444.6904555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
